alr	Alanine racemase
rihC	Ribonucleoside hydrolase
rapA	RNA polymerase binding protein; mutants are UV-S; mutant biofilms have less polysaccharide and are antibiotic sensitive; ATPase and putative helicase
mraZ	Function unknown, MraZ family; expressed gene in dcw (division, cell wall) gene cluster
rsmH	16S rRNA m(4)C1402 methyltranserfase, SAM-dependent; membrane-associated. expressed gene in dcw gene cluster; non-essential
ftsL	Cell division and growth, membrane protein
secM	Secretion monitor controlling secA expression
pdhR	Pyruvate dehydrogenase operon (pdhR-aceEF-lpd) repressor; autoregulatory; pyruvate relieves repression; monomeric
yacC	Expressed protein, function unknown, PulS_OutS. family
mtn	5'-Methylthioadenosine nucleosidase; S-adenosylhomocysteine and 5'-deoxyadenosine are also substrates
frsA	Fermentation-respiration switch protein; PTS Enzyme IIAGlc-binding protein, binds unphosphorylated form; has pNP-butyrate esterase activity in vitro
crl	Sigma factor-binding protein, stimulates RNAP holoenzyme formation; stimulates RpoS activity during stationary phase; mutants display rpoS mutant phenocopy; mutant does not have reduced amount of RpoS protein
yaiA	Function unknown
sbcD	DNA hairpin dsDNA 3'-exonuclease SbcCD, Mn(2+), ATP-dependent; ATP-independent 5' ssDNA endonuclease; cosuppressor with sbcB of recB recC mutations; heterodimeric
acpH	Acyl carrier protein (ACP) phosphodiesterase; ACP hydrolyase
yajC	SecDFyajC membrane secretion complex subunit; assists the SecYE translocon to interact with SecA and export proteins
yajD	Function unknown, HNH family
xseB	Exonuclease VII, small subunit
ybaA	Function unknown, DUF1428 family
ybaB	DNA-binding protein, function unknown; homodimer; in recR operon; may be involved in DNA repair
aes	Short acyl chain and triacetyl glycerol esterase; affects maltose gene expression
gsk	Inosine-guanosine kinase
fimZ	Predicted fimbriae protein synthesis regulator
entS	Enterobactin exporter, iron-regulated
entH	Thioesterase required for efficient enterobactin production; may correct misacylation of the aryl carrier protein domain of EntB
ybdD	Function unknown, DUF466 family
ybgA	Function unknown, DUF1722 family
mngR	mngAB operon repressor, mannosyl glycerate utilization
ybgC	Acyl-CoA thioesterase, involved in phospholipid metabolism; binds ACP; acyl-ACP could be native substrate
cspD	Inhibitor of DNA replication; cold shock protein homolog, not cold shock inducible; stationary phase and starvation inducible; lethal when overproduced
aat	Leucyl, phenylalanyl-tRNA-protein transferase; L/F-transferase; transfers Leu or Phe to N-terminal Arg or Lys residues; required for the N-end rule degradation by ClpAP protease
yccA	HflBKC-binding inner membrane protein, UPF0005 family; UPF0005 family; mutant YccA stabilizes SecY(Ts); suppression requires HflKC; YccA is a native substrate for the FtsH(HflB) protease
yccB	Expressed protein, function unknown; predicted transmembrane domain
yceA	Predicted rhodanese, function unknown
yceB	Novel verified lipoprotein, DUF1439 family, function unknown
rluC	23S rRNA pseudouridine synthase; specific to U955, U2504, and U2580
yceD	Function unknown, DUF177 family
tfaE	Predicted tail fiber assembly gene, e14 prophage
yciA	Acyl-CoA esterase, role unknown
yciB	Involved in intracellular septation in Shigella
yciC	Function unknown, UPF0259 family
ompW	Outer membrane protein W; colicin S4 receptor
yciE	Function unknown, rubrerythrin/ferritin-like putative metal-binding protein
yciF	Function unknown, H-NS repressed; dimeric; rubrerythrin/ferritin-like putative metal-binding protein
yciG	Required for swarming phenotype, function unknown
yciH	Mimics some initiation factor functions, binds 30S subunit; SUI1 family; eIF1 homolog
rem	Function unknown, Qin prophage; downstream of relF gene
hokD	Small toxic membrane polypeptide, Qin prophage; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; functional relevance of chromosomal homologs is unknown
relE	Sequence-specific mRNA endoribonuclease, Qin prophage; toxin-antitoxin (TA) pair RelEB, RelE inhibitor of translation cleaves mRNA in A site; binds to its antitoxin RelB and to ribosomes; co-repressor of relB operon transcription; stress-induced
ppsR	PEP synthase regulatory protein PSRP; bifunctional PEP synthase kinase, ADP-dependent, and PEP synthase pyrophosphorylase, Pi-dependent; tetrameric; DUF299 family
nlpC	Predicted peptidase, C40 clan, function unknown, lipoprotein
ydjA	Putative nitroreductase, function unknown, binds FMN; low abundance protein
pncA	Pyrazinamidase/nicotinamidase
yebB	Function unknown, DUF830 family
yebC	Function unknown, expressed protein, UPF0082 family
nudB	Dihydroneopterin triphosphate pyrophosphohydrolase; early step in folate synthesis 
yecA	Function unknown, UPF0149 family
uvrY	Response regulator, pleiotrpic; controls the expression of csrB/C sRNAs; hydrogen peroxide resistance; cognate sensorregulator is BarA
yedA	Predicted transporter, inner membrane protein, DMT superfamily, function unknown
yfaA	Conserved protein, DUF2138 family, function unknown
ubiG	SAM:OMHMB methyltransferase; Reactions: 2-octaprenyl-6-hydroxylphenol to 2-octaprenyl-6-methoxyphenol; 2-octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone to ubiquinone 8
yfcA	Inner membrane protein, UPF0721 family, function unknown
yfeA	Predicted c-di-GMP dual activity enzyme, function unknown
xapR	Regulatory gene for xapAB
yffB	Predicted reductase, function unknown, ArsC family; low abundance protein
gcvR	Required for repression of gcv operon by GcvA; GcvA-GcvR repressor complex disrupted by glycine binding to GcvR
hyfA	Hydrogenase 4 component A, ferrodexin-like
raiA	Protein Y, associated with 30S ribosomal subunit; inhibits 70S dimer formation; stabilizes the ribosomal 70S complex against dissociation at low magnesium ion concentrations; counteracts miscoding under stress conditions 
yfiB	Verified lipoprotein, function unknown
rimM	Factor required for 16S RNA processing; 30S maturation; binds S19
ppdC	Required for swarming phenotype, function unknown; first 10 residues may be cleaved by prepilin peptidase to leave an N-terminal methylphenylalanine
ygdB	Function unknown, DUF2509 family
ppdB	Function unknown; regulated by FlhDC and FliA; mutants are not defective in motlity or chemotraxis; first 7 residues may be cleaved by prepilin peptidase to leave an N-terminal methylphenylalanine
ygeA	Function unknown, Asp/Glu_racemase family
ygfA	Function unknown, 5-formyltetrahydrofolate cyclo-ligase family; expressed second gene in ssrS operon
argO	Arginine exporter
mscS	Mechanosensitive channel protein, intermediate conductance; heptameric
yggC	Predicted kinase, function unknown
yggD	Predicted transcriptional regulator, function unknown
ygiB	Probable lipoprotein, function unknown, UPF0441 family; conserved lipobox
ygiC	Glutathionylspermidine synthase paralog, function unknown
ygiD	Predicted dioxygenase, LigB family, function unknown
zupT	Zinc and other divalent cation uptake transporter
ttdA	L-Tartrate dehydratase alpha subunit
ttdB	L-Tartrate dehydratase beta subunit
ygjD	Involved in genome maintenance, essential gene; Gcp glycoprotease homolog
tdcD	Propionate kinase, anaerobic; non-essential gene
yhaB	Function unknown
yhaC	Function unknown
garK	Glycerate kinase, glycerate- or glucarate-inducible; GK1; produces 2-phosphoglycerate
garR	Tartronate semialdehyde reductase, glycerate- or galactarate-inducible
truB	tRNA U55 pseudouridine synthase
rbfA	Ribosome binding factor required for efficient processing of 16s rRNA; cold-shock adaptation protein; overexpression suppresses cold-sensitive 16S rRNA
rimP	Factor required for maturation of 30S ribosomal subunits
mscL	Mechanosensitive channel protein, high conductance; homopentameric
bfd	Bacterioferritin-associated ferredoxin; predicted redox component complexing with Bfr in iron storage and mobility [2Fe-2S]
yhfA	Function unknown, OsmC family
damX	Cell division protein, binds septal ring
yhhA	Function unknown, DUF2756 family
yiaA	Inner membrane protein, YiaAB family, function unknown
yibA	Function unknown, homologous to phycobiliprotein lyases and Synechocystis IscA-binding protein IaiH; contains one HEAT-like motif
yibB	Conserved protein, pfam09612 family, function unknown
rfaC	LPS heptosyltransferase I; LPS core biosynthesis; transfers innermost heptose to KDO
coaD	Phosphopantetheine adenylyltransferase
slmA	Division inhibitor that binds FtsZ and blocks septal rings; DNA-associated
yicC	Function unknown, UPF0701 family
dinD	Damage inducible, function unknown
xanP	Xanthine permease
yidA	Erythrose 4-P and mannose 1-P phosphatase; alpha-D-glucose-1-P phosphatase, anomer-specific; phosphoramidase; physiological role unknown; additional in vitro substrates include: ribose-5-P, fructose-1-P, fructose-6-P, glucose-6-P, acetyl phosphate; HAD13
yidB	Function unknown, DUF937 family
yidC	Membrane protein insertase; inner membrane protein integration factor; binds TM regions of nascent IMPs; required for Sec-independent IMP integration; associated with the Sec translocase
glmU	Bifunctional glucosamine-1-phosphate acetyltransferase and N-acetylglucosamine-1-phosphate uridylyltransferase
mioC	Required for biotin synthase activity in vitro; flavodoxin-like FMN-binding protein; transcription of mioC through oriC may have physiological significance in suboptimal conditions
yigA	Function unknown, DUF484 family
yigB	FMN phosphatase; physiological role unknown; HAD7
yihA	GTP-binding protein required for normal cell division; predicted GTPase; also binds GDP
murI	Glutamate racemase, D-glutamate synthesis
murB	UDP-N-acetylglucosaminyl-3-enolpyruvate reductase
yjaA	Conserved stress-induced protein, function unknown; involved in peroxide and acid resistance
yjaB	Predicted acetyltransferase; transcribed divergently from a promoter that overlaps the metA promoter
arpA	Ankyrin repeat protein, function unknown
psiE	Pho regulon, regulated by phoB and cAMP
yjdA	Function unknown
poxA	Regulator of poxB; mutants are hypersensitive to sulfometuron methyl, alpha-keto butyrate, and many amino acid analogs; slow growth rate; hypersensitivity to many antibiotics and dyes
nsrR	Nitric oxide-sensitive repressor; regulates hmp, ygbA, ytfE, tehA and hcp-hcr
yjjA	Predicted secreted protein, function unknown
yjjB	Function unknown; expressed P14 protein upstream of dnaTC; putative membrane protein with 4 TM helices
creA	Predicted secreted protein, function unknown
creB	Response regulator for CreBC regulon; induced by growth in minimal medium
ydcA	Function unknown
zwf	Glucose 6-phosphate dehydrogenase
alkA	3-methyl-adenine DNA glycosylase II, inducible; repairs by single-and double-strand excision of 3-methyl adenine
argH	Argininosuccinate lyase
fliO	Flagellin export apparatus, integral membrane protein
dcuA	C4-dicarboxylate transporter, anaerobic
leuA	alpha-Isopropylmalate synthase
fdnG	Formate dehydrogenase-N, selenopeptide, anaerobic; periplasmic
fdnH	Formate dehydrogenase-N, Fe-S subunit, anaerobic; periplasmic
fdnI	Formate dehydrogenase-N, cytochrome subunit, anaerobic
melR	Transcriptional activator for melAB, AraC family; autoregulatory repressor in absence of co-activator melibiose
rpmI	50S ribosomal subunit protein A (L35)
rpmJ	50S ribosomal subunit protein X (L36)
rstB	Sensory histidine kinase in two-component regulatory system with RstA
ydiB	Quinate/shikimate dehydrogenase, NAD(P)-dependent
rhlE	ATP-dependent RNA helicase, in RNA degradasome
yahA	c-di-GMP-specific phosphodiesterase, PDE-A; reaction product is 5'pGpG; dependent on Mg+2 or Mn+2, Ca+2 inhibitory; optimum pH 9.35; monomeric
chiA	Periplasmic endochitinase/lysozyme, Hns-repressible
ybhB	Raf kinase inhibitor RKIP homolog, function unknown; UPF0098 family; cyoplasmic protein
ybhA	Pyridoxal phosphate (PLP) phosphatase; phosphoramidase; physiological role unknown; HAD14
hokB	Small toxic membrane polypeptide; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; functional relevance of chromosomal homologs is unknown
ycaC	Predicted hydrolase, isochorismatase family, function unknown; homologous to pyrazinamidase and carbamoylsarcosine amidohydrolase; homooctamer
ycaD	Predicted transporter, MFS-type, inner membrane protein; function unknown
yggE	Oxidative stress defense, DUF541 family, mechanism unknown
yggF	Fructose 1,6 bisphosphatase activity
uspE	Stress-induced protein; UV-resistance; tandem Usp domains
rumA	23S rRNA m(5)U1939 methyltransferase, SAM-dependent
mazF	mRNA interferase toxin, antitoxin is MazE; inhibitor of translation by mRNA cleavage
chpS	ChpS antitoxin, toxin is ChpB
ychA	Salmonella sirB1 ortholog, function unknown
mukE	Chromosome condensin MukBEF, MukE subunit
ycbB	Murein L,D-transpeptidase, periplasmic
rlmH	23S rRNA m(3)Psi1915 pseudouridine methyltransferase; SAM-dependent
ybeB	Ribosome-associated protein, function unknown
iraP	Anti-RssB factor, RpoS stabilzer during Pi starvation; anti-adapter protein
adrA	Cellulose, biofilm, motility regulator, diguanylate cyclase; CsgD-regulated; membrane protein
focA	Formate channel; mutants are hypophosphite resistance and have elevated intracellular formate and reduced excreted formate
rnr	Exoribonuclease R, RNase R
yifB	Competence Mg chelatase ComM homolog, function unknown
nfsA	Nitroreductase A; oxygen-insensitive, NADPH, FMN-dependent, major; reduces a variety of nitroaromatics, e.g. dihydropteridine, nitrofurantoin, nitrofurazone, quinones; SoxS regulon; homodimeric
tsgA	Putative transporter, tellurite-inducible, function unknown; also induced by selenite
gspB	Part of H-NS-silenced gsp divergon, type II protein secretion; cloned gsp divergon secretes ChiA, requires gspAB operon
cmk	Cytidylate kinase; multicopy suppressor of UMP kinase mutations
yibD	Function unknown, basRS regulon; putative glycosyltransferase
yiaB	Inner membrane protein, YiaAB family, function unknown
fmt	Methionyl-tRNA formyltransferase
hisL	his operon leader peptide
ilvL	ilvG operon leader peptide
pheL	pheA gene regulatory leader peptide
pheM	pheST operon regulatory leader peptide
trpL	Regulatory leader peptide for trp operon
ivbL	ilvB operon leader peptide
tnaC	Regulatory leader peptide for tna operon
thrL	Regulatory leader peptide for thrABC operon
pyrL	pyrBI operon regulatory leader peptide
leuL	leu operon leader peptide
mutL	Methyl-directed mismatch repair; matchmaker protein; weak DNA-stimulated ATPase
hyfB	Putative hydrogenase 4 component B; membrane protein of Hyf electron transfer complex of FHL system
fabZ	3R-hydroxymyristoyl acyl carrier protein (ACP) dehydratase
glrR	Response regulator regulating glmY sRNA;  cognate histidine sensor kinase is GlrK(QseE)
argE	Acetylornithine deacetylase
ygbA	Function unknown
mak	Cryptic manno(fructo)kinase
yeiA	Dihydropyrimidine dehydrogenase, NADH-dependent, subunit C; pyrimidine metabolism; required for swarming phenotype
yeiB	Predicted inner membrane protein, function unknown
yggG	Heat shock protein binds Era; predicted metalloprotease lipoprotein; Cys in lipobox conserved; M48 family
yghA	Predicted oxidoreductase , function unknown
lolB	OM lipoprotein required for localization of lipoproteins; essential gene
ispE	4-diphosphocytidyl-2-C-methylerythritol kinase; isopentenyl phosphate kinase; alternative nonmevalonate (DXP) pathway for terpenoid biosynthesis; essential gene
wzzE	Enterobacterial common antigen ECA chain length determination; also involved in cyclic enterobacterial common antigen ECA(CYC) synthesis
radA	Sensitivity to gamma and UV radiation
dsbA	Thiol:disulfide interchange protein, periplasmic; alkali-inducible
yhdE	Function unknown; homologous to B. subtilis maf; yceF paralog
rng	Endoribonuclease G involved in 16S rRNA processing; division and growth, overexpression forms minicells and chains with long axial structures
ydfA	Function unknown, Qin prophage
ydfB	Expressed protein, function unknown, Qin prophage
ydfC	Conserved protein, function unknown, Qin prophage
ydfD	Function unknown, Qin prophage
tatE	Protein translocase, Sec-independent; mediates export of folded and ligand-bound proteins
lipA	Lipoyl synthase, iron-sulfur protein; SAM-dependent chemistry
ydbC	Predicted oxidoreductase, NAD(P)-binding, function unknown
ydbD	Function unknown
dusB	tRNA-dihydrouridine synthase B
yicR	Function unknown, UPF0758 family
rhaT	Rhamnose permease; L-rhamnose-H+ symporter, membrane protein
purB	Adenylosuccinate lyase, purine synthesis
yhdH	Putative quinone oxidoreductase, function unknown
malS	alpha-Amylase, periplasmic
fabD	Malonyl-CoA-acyl carrier protein transacylase
fabG	beta-Ketoacyl-ACP reductase
galU	Glucose-1-P uridylyltransferase; also called UDP-glucose pyrophosphorylase
nrdR	Nrd regulon repressor
ribD	Bifunctional enzyme for second and third steps in riboflavin biosynthesis; 2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate deaminase; ribosyl reductase
ribE	Lumazine (6,7-dimethyl-8-ribityllumazine) synthase; 60-mer capsid; penultimate step in the biosynthesis of riboflavin; binds RibC homotrimer
ygfB	Function unknown, UPF0149 family
ubiH	2-octaprenyl-6-methoxyphenol hydroxylase; produces 2-octaprenyl-6-methoxy-1,4-benzoquinone
acnA	Aconitase A, stationary phase induced; iron-sulfur cluster; apo-enzyme binds mRNA for negative translational autoregulation; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur
codA	Cytosine deaminase
codB	Cytosine transport
fdx	Ferredoxin, an iron-sulfur protein; involved in assembly of other Fe-S clusters
gabD	Succinic semialdehyde dehydrogenase, NADP dependent
gabP	GABA permease, membrane protein
ribA	GTP cyclohydrolase II, riboflavin biosynthesis
upp	Uracil phosphoribosyltransferase
visC	Putative FAD-dependent oxidoreductase, function unknown; downstream of and homologous to ubiH (visB)
ligB	DNA ligase B, NAD(+)-dependent
nadR	Repressor of the nad operon, N-terminal domain; nicotinamide mononucleotide adenyltransferase, central domain; ribosylnicotinamide kinase, C-terminal domain; involved in transport of NMN; multifunctional protein
endA	DNA-specific endonuclease I, periplasmic; inhibited by RNA; extensive DNA breakdown
lysP	Lysine permease; lysine repressed
msyB	In multicopy restores growth and protein export functions of secY and secA mutants
rfaG	LPS core biosynthesis; glucosyltransferase I
rfaP	Lipopolysaccharide kinase; LPS core biosynthesis; phosphorylation of core
rfaQ	Glycosyltransferase needed for heptose region of LPS core
ychE	Function unknown; putative membrane protein
mdtG	Multidrug resistance efflux transporter; overexpression resistance to fosfomycin and deoxycholate
mnmA	tRNA U34 sulfurtransferase; first step in mnm(5)-s(2)U34-tRNA synthesis; thiolates U34 at C2; YccK(TusE) binding partner; antisuppressor
hflD	Downregulates lambda lysogenization; interacts with cII protein; first gene in purB operon; peripheral membrane protein
fliE	Flagellar synthesis; basal body component
fliF	Flagellar basal body M-ring protein
yidD	Function unknown, UPF0161 family
rfaS	LPS core, not affecting attachment of O antigen
rfaB	UDP-D-galactose:glucosylLPS-alpha-1,3-D-galactosyltransferase
rfaI	UDP-D-galactose: (glucosyl)LPS-1,3-D-galactosyltransferase
rfaJ	UDP-D-glucose: (galactosyl)LPS-glucosyltransferase
emrA	EmrAB-TolC multidrug resistance pump; periplasmic membrane fusion component, signal anchor; energy-dependent efflux of octane, thiolactomycin and the uncouplers DNP, CCCP, and FCCP
fliA	Transcription factor sigma 28 for class III flagellar operons
fliZ	RpoS antagonist, transiently in post-exponential phase; timing factor allowing motility to continue for a while during starvation; not required for normal motility
dinG	ATP-dependent DNA helicase; putative repair and recombination enzyme, monomeric
murA	UDP-N-acetylglucosamine enoylpyruvyl transferase; fosfomycin resistance
gspO	Prepilin peptidase in H-NS-silenced gsp divergon; type II protein secretion; cloned gsp divergon secretes ChiA
bax	Gene transcribed divergently from malS, function unknown
asmA	Suppressor of ompF assembly mutants, function unknown; inner membrane protein may be more generally involved in OM protein assembly; required for swarming phenotype
yadB	Glutamyl-queuosine tRNA(Asp) synthase
amiB	N-acetylmuramyl-L-alanine amidase, periplasmic; role in septal cleavage during cell division; overexpression causes lysis, osmotic hypersensitivity
bglH	Outer membrane beta-glucoside porin, cryptic; lamB paralog
rob	Right oriC-binding transcriptional activator, AraC family
barA	Sensor histidine protein kinase, pleiotropic; controls the expresion of csrB/C sRNAs; works in concert with UvrY response regulator
menB	1,4-Dihydroxy-2-naphthoate synthase; menaquinone biosynthesis
ubiC	Chorismate--pyruvate lyase
ubiA	4-Hydroxybenzoate polyprenyltransferase
yfhB	Function unknown
tadA	A34-tRNA adenosine deaminase; point mutation confers resistance to HokC(Gef)-mediated cell killing; essential gene; homodimeric
mltF	Membrane-bound lytic transglycosylase F, murein hydrolase
folK	6-Hydroxymethyl-7,8-dihydropterin pyrophosphokinase; monomeric
folE	GTP cyclohydrolase I
ftsP	Septal ring component that protects the divisome from stress; multicopy suppressor of ftsI(Ts)
plsC	1-Acyl-n-glycerol-3-phosphate acyltransferase; affects partitioning
sufA	Scaffold protein for assembly of iron-sulfur clusters; facilitates delivery to target proteins; Fe-S transfer protein
appB	Cytochrome bd-II oxidase subunit II
appC	Cytochrome bd-II oxidase subunit I
glgS	Glycogen synthesis stimulating protein; does not affect transcription of glg genes; mechanism of stimulation unknown
elbB	Involved in isoprenoid biosynthesis; also known as sigma cross-reacting protein 27A
ahpC	Alkyl hydroperoxide reductase, subunit C; reduced by the AhpF subunit
ahpF	Alkyl hydroperoxide reductase, subunit F; NAD(P)H:peroxiredoxin oxidoreductase, reduces AhpC; contains one FAD/monomer
amyA	alpha-Amylase, cytoplasmic
fliS	Flagellar chaperone, inhibits premature FliC assembly; cytosolic
fliT	Flagellar synthesis, predicted chaperone, role unknown
uspA	Global regulatory gene for stress response; mutants are UV-S
osmY	Osmotically induced periplasmic protein, function unknown; mutant is slightly salt sensitive
nhaB	Na+/H+ antiporter 2, weakly pH-dependent; helps regulate intracellular pH and extrude lithium
dsbB	Disulfide oxidoreductase, membrane-spanning protein; oxidizes periplasmic DsbA; DTT-sensitive phenotype
fabR	Transcriptional repressor of fabA and fabB
yijD	Inner membrane protein, DUF1422 family, function unknown
ubiD	3-octaprenyl-4-hydroxybenzoate carboxylyase; ubiquinone biosynthesis, third step; UbiX isozyme
hdeA	Periplasmic chaperone of acid-denatured proteins; H-NS repressed
hdeB	Periplasmic chaperone of acid-denatured proteins; H-NS repressed
yhiD	Predicted Mg(2+) transport ATPase, MgtC family, function unknown; inner membrane protein
psiF	pho regulon member, requiring PhoRB system
treC	Trehalose-6-phosphate hydrolase, osmoprotectant
ppx	Exopolyphosphatase; inhibited by pppGpp and ppGpp, also has guanosine pentaphosphatase activity
ychF	Putative DNA-binding GTPase, obgE paralog; null mutant forms small colonies
cydD	Cysteine exporter CydDC; ABC transporter exports cysteine to periplasm as required for cytochrome assembly; N-terminal permease domain and C-terminal cytoplasmic ATP-binding domain
ribC	Riboflavin synthase; homotrimer; associated with RibE 60-mer
dadA	D-amino acid dehydrogenase
dadX	Alanine racemase; homodimeric
lpxK	Lipid A 4' kinase
yjgA	Ribosome-associated protein, function unknown
glnD	Bifunctional uridylyltransferase/uridylyl-removing enzyme; (UTase/UR); controls uridylylation state and activity of PII(GlnB)
holA	DNA polymerase III, delta subunit; part of the DnaX clamp loader complex; acts as a wrench to open the sliding clamp
holC	DNA polymerase III, chi subunit
holD	DNA polymerase, psi subunit, clamp loader complex subunit
dps	Stress response DNA-binding protein with protective role; Fe-binding and storage protein; forms biocrystals with DNA; copper homeostatsis
nrdD	Ribonucleoside-triphosphate reductase; class III anaerobic ribonucleotide reductase
dcd	dCTP deaminase; mutants suppress lethal dut mutants
bcr	Efflux pump for bicyclomycin, cysteine and sulfonamides
cynR	Transcriptional activator of cyn operon; autorepressor
inaA	Protein induced by acid, function unknown; independent of SoxRS regulation
waaU	Adds terminal GlcNac side branch to the lipopolysaccharide core prior to attachment of the O antigen; not the same as Salmonella rfaK
rfaL	LPS core biosynthesis; O-antigen ligase
rfaY	LPS core biosynthesis
rfaZ	2,4 Kdo transferase, required for the addition of KdoIII; LPS core biosynthesis,
tktA	Transketolase A; binds Zn(II)
sthA	Soluble pyridine nucleotide transhydrogenase
yjaZ	Required for competitive stationary phase growth adaptation; function unknown
ycfD	Function unknown
yfeC	Predicted DNA-binding protein, DUF1323 family, function unknown
yfeD	Conserved protein, DUF1323 family, function unknown; N-terminal HTH domain of the MerR superfamily
msrA	Methionine sulfoxide reductase A; specific for S diastereoisomers
marA	Transcriptional activator for multiple antibiotic resistance; AraC family; resistance to tetracycline, chloramphenicol
marR	Transcription repressor of multiple antibiotic resistance; resistance to tetracycline, chloramphenicol, etc.; dimeric
yjgB	Function unknown
plsX	Probable phosphate acyltransferase
yceF	Function unknown; homologous to B. subtilis maf; yhdE paralog
emrB	EmrAB-TolC multidrug resistance pump; energy-dependent efflux of octane, thiolactomycin, and uncouplers DNP, CCCP, and FCCP; inner membrane-spanning translocase
def	Peptide deformylase; N-formylmethionylaminoacyl-tRNA deformylase
prlC	Oligopeptidase A, zinc metalloprotease; involved in the degradation of cleaved signal peptides; suppressor allele of LamB signal sequence mutations; heat shock regulon; proteinase In, multifunctional protease
gcvT	Aminomethyl transferase, tetrahydrofolate dependent; T-protein of the glycine cleavage system
rpiA	Ribose-5-phosphate isomerase A, alkali-inducible
scpA	Methylmalonyl-CoA mutase, B12-dependent
argK	Required to convert succinate to propionate, Arg transport?; reported to have ATPase and protein kinase activity
csrA	Global regulator of carbon source metabolism; RNA-binding protein; CsrA exerts reciprocal effects on glycolysis versus gluconeogenesis and glycogen biosynthesis; glgC mRNA-binding activity blocks GlgC translation; csrB RNA inhibits csrA
acs	Acetyl CoA synthase, acetate-scavenging enzyme, improves carbon starvation survival
hdfR	Transcriptional regulator of the flhDC operon, hns-dependent; not allelic to pssR
yifE	Function unknown, expressed protein, UPF0438 family
rffE	UDP-GlcNAc-2-epimerase; needed for ECA (enterobacterial common antigen) synthesis
rffD	UDP-ManNAcA dehydrogenase; needed for ECA (enterobacterial common antigen) synthesis
rffG	dTDP-glucose dehydratase; needed for ECA (enterobacterial common antigen) synthesis
rffH	Glucose-1-phosphate thymidylyltransferase; needed for ECA (enterobacterial common antigen) synthesis
rffC	TDP-fucosamine acetyltransferase; needed for ECA (enterobacterial common antigen) synthesis; chain elongation
rffA	Lipid III biosynthesis; needed for ECA synthesis
wzyE	Wzy protein involved in ECA polysaccharide chain elongation; involved in polymerization of the UDP-linked ECA trisaccharide repeat unit of cyclic enterobacterial common antigen ECA(CYC)
rffM	UDP-ManNAcA transferase; needed for ECA (enterobacterial common antigen) synthesis
yifK	Function unknown
narQ	Nitrate/nitrite sensor-transmitter protein; anaerobic respiratory path; cognate regulator is NarP; function redundant with narX
yigE	Function unknown, DUF2233 family
corA	Mg2+ (and other divalent metals) uptake transporter; constitutive; at high Mg(2+), also mediates efflux; mutants are resistant to Co2+, Mn2+, and Ni2+, insensitive to Ca2+
yigF	Predicted inner membrane protein, function unknown
yigG	Required for swarming phenotype, function unknown; inner membrane protein
rarD	Chloramphenicol resistance
yigI	Function unknown, 4HBT family  of thioesterases
rhtC	Threonine efflux pump; overproduction confers resistance to elevated levels of exogenous L-threonine
rhtB	Homoserine, homoserine lactone and S-methyl-methionine efflux pump; overproduction confers resistance to elevated levels of exogenous L-threonine and L-homoserine
yigL	Pyridoxal phosphate (PLP) phosphatase; weak phosphoramidase; additional in vitro substrates include: 2-deoxyglucose-6-P, glucose-6-P; physiological role unknown; HAD16
yigM	Function unknown
rmuC	DNA recombination protein; mutants have elevated recombination at microhomologies
ubiE	Ubiquinone/menaquinone biosynthesis methyltransferase; SAM-dependent; (1) Ubiqinone synthesis, 2-octaprenyl-6-methoxy-1,4-benzoquinone methyltransferase; (2) Menaquinone synthesis, 2-demethylmenaquinone (DMK) methyltransferase
yigP	Function unknown, SCP2 family
ubiB	Required for octaprenylphenol hydroxylation, the first step of ubiquinone synthesis; regulator of 2'-N-acetyltransferase; member of the ABC1 family of putative protein kinases
tatA	Protein translocase, Sec-independent; mediates export of folded and ligand-bound proteins
tatC	Protein translocase, Sec-independent; mediates export of folded and ligand-bound proteins
tatD	Quality control of Tat-exported FeS proteins; Mg-dependent cytoplasmic DNase; mutant has no general Tat defect
yigZ	Function unknown, UPF0029 family, IMPACT family; distantly related to elongation factors
hemG	Protoporphyrinogen oxidase; neomycin sensitivity; flavodoxin-like
wzxE	O-antigen translocase; involved in the cross-membrane translocation of the UDP-linked ECA trisaccharide repeat unit of cyclic enterobacterial common antigen ECA(CYC)
pdxH	Pyridoxine/pyridoxamine phosphate (PNP/PMP) oxidase; isoniazid resistance
mliC	Inhibitor of C-lysozyme, membrane-bound; predicted lipoprotein, lipobox conserved
csgA	Curlin subunit, cryptic
gadB	Glutamate decarboxylase B, vitamin B6-dependent; hexameric
dinF	Induced by UV and mitomycin C, function unknown
qorA	Quinone oxidoreductase A, NADPH dependent
pabC	Sulfonamide resistance; aminodeoxychorismate lyase
yceG	Function unknown
hdeD	Putative membrane transporter, H-NS repressed
prmA	50S subunit L11 protein lysine methyltransferase
yhdJ	DNA adenine methyltransferase, SAM-dependent
yhbE	Function unknown
holB	DNA polymerase III, delta' subunit; part of the DnaX clamp loader complex, the stator protein
adiA	Arginine decarboxylase, acid-inducible; arginine-dependent acid resistance
